Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,"Consent Form object-12 Ich habe die Informationen gelesen und verstanden und erkläre unter den oben genannten Bedingungen mein Einverständnis, an dieser Studie teilzunehmen.
-Ich stimme zu
"
1,1720006146672,03/07/2024 11:29:06,1720013346672,2,03/07/2024 15:29:06,86579,59,questionnaire-5yii,,38723536,280560572503249,11365063,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x703,End study,,0,Consent form,7,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_4,,,1
1,1720009924246,03/07/2024 12:32:04,1720020724246,3,03/07/2024 18:32:04,86579,59,questionnaire-5yii,,38725461,280560572531793,11365426,,complete,,,tablet,undefined K,Android 10,Chrome 126.0.0.0,1102x689,1103x520,End study,,0,Consent form,7,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_18,1
1,1720015414718,03/07/2024 14:03:34,1720022614718,2,03/07/2024 18:03:34,86579,59,questionnaire-5yii,,38731838,280560572404941,11366667,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1032x1376,1376x925,End study,,0,Consent form,7,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_11,,1
1,1720023388671,03/07/2024 16:16:28,1720030588671,2,03/07/2024 20:16:28,86579,59,questionnaire-5yii,,38734711,280560572503246,11367563,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1600x689,End study,,0,Consent form,7,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_6,,1
1,1720028073861,03/07/2024 17:34:33,1720035273861,2,03/07/2024 21:34:33,86579,59,questionnaire-5yii,,38736408,280560572370951,11367983,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1528x716,End study,,0,Consent form,7,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_36,1
1,1720033538005,03/07/2024 19:05:38,1720040738005,2,03/07/2024 23:05:38,86579,59,questionnaire-5yii,,38738477,280560572407836,11368490,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1600x900,1589x785,End study,,0,Consent form,7,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_27,1
1,1720035799672,03/07/2024 19:43:19,1720042999672,2,03/07/2024 23:43:19,86579,59,questionnaire-5yii,,38739007,280560572376151,11368630,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x695,End study,,0,Consent form,7,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_1,,,1
1,1720041852151,03/07/2024 21:24:12,1720049052151,2,04/07/2024 01:24:12,86579,59,questionnaire-5yii,,38740117,280560572378248,11368929,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1528x750,End study,,0,Consent form,7,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_9,,1
1,1720060367174,04/07/2024 02:32:47,1720071167174,3,04/07/2024 08:32:47,86579,59,questionnaire-5yii,,38741449,280560572511342,11369383,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x600,End study,,0,Consent form,7,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_2,,,1
1,1720065037135,04/07/2024 03:50:37,1720072237135,2,04/07/2024 07:50:37,86579,59,questionnaire-5yii,,38741800,280560572502195,11369487,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1536x864,1536x731,End study,,0,Consent form,7,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_12,,1
1,1720065543258,04/07/2024 03:59:03,1720072743258,2,04/07/2024 07:59:03,86579,59,questionnaire-5yii,,38741904,280560572533882,11369509,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,End study,,0,Consent form,7,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_11,,,1
END OF FILE
