Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1719992903174,03/07/2024 07:48:23,1720000103174,2,03/07/2024 11:48:23,86579,59,task-q8b2,,38715086,280560572379287,11363118,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,End study,,0,Thank you,3,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_4,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1719992904901,03/07/2024 07:48:24,1720000104901,2,03/07/2024 11:48:24,86579,59,task-q8b2,,38715086,280560572379287,11363118,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,End study,,0,Thank you,3,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_4,,Spreadsheet1,Spreadsheet1,1,Danke,Screen 1,gl8bhj,1,continue,,1738.5999999523162,1723.2,1738.5999999523162,1738.5999999523162,1723.2,1738.5999999523162,1,1738.5999999523162,0,0,,Click To Continue,Continue Button,2,object-4,Danke,
3,1719992904903,03/07/2024 07:48:24,1720000104903,2,03/07/2024 11:48:24,86579,59,task-q8b2,,38715086,280560572379287,11363118,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,End study,,0,Thank you,3,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_4,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1719994385303,03/07/2024 08:13:05,1720001585303,2,03/07/2024 12:13:05,86579,59,task-q8b2,,38715694,280560572371198,11363246,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 115.0,2144x1206,2144x1035,End study,,0,Thank you,3,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_5,,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1719994388918,03/07/2024 08:13:08,1720001588918,2,03/07/2024 12:13:08,86579,59,task-q8b2,,38715694,280560572371198,11363246,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 115.0,2144x1206,2144x1035,End study,,0,Thank you,3,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_5,,,Spreadsheet1,Spreadsheet1,1,Danke,Screen 1,gl8bhj,1,continue,,3621.8,3619.92,3621.8,3621.8,3619.92,3621.8,1,3621.8,0,0,,Click To Continue,Continue Button,2,object-4,Danke,
3,1719994388920,03/07/2024 08:13:08,1720001588920,2,03/07/2024 12:13:08,86579,59,task-q8b2,,38715694,280560572371198,11363246,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 115.0,2144x1206,2144x1035,End study,,0,Thank you,3,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_5,,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1720007126045,03/07/2024 11:45:26,1720014326045,2,03/07/2024 15:45:26,86579,59,task-q8b2,,38723994,280560572503249,11365063,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x703,End study,,0,Thank you,3,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_4,,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1720007128162,03/07/2024 11:45:28,1720014328162,2,03/07/2024 15:45:28,86579,59,task-q8b2,,38723994,280560572503249,11365063,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x703,End study,,0,Thank you,3,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_4,,,Spreadsheet1,Spreadsheet1,1,Danke,Screen 1,gl8bhj,1,continue,,2133.38,2116.6800000000003,2133.38,2133.38,2116.6800000000003,2133.38,1,2133.38,0,0,,Click To Continue,Continue Button,2,object-4,Danke,
3,1720007128166,03/07/2024 11:45:28,1720014328166,2,03/07/2024 15:45:28,86579,59,task-q8b2,,38723994,280560572503249,11365063,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x703,End study,,0,Thank you,3,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_4,,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1720011055792,03/07/2024 12:50:55,1720021855792,3,03/07/2024 18:50:55,86579,59,task-q8b2,,38726111,280560572531793,11365426,,complete,,,tablet,undefined K,Android 10,Chrome 126.0.0.0,1102x689,1103x520,End study,,0,Thank you,3,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_18,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
