Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Display,Spreadsheet: Audio,Spreadsheet: Variety,Manipulation: Spreadsheet,Store: Progress
9,1719929915432,02/07/2024 14:18:35,1719937115432,2,02/07/2024 18:18:35,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,2,Origin & authenticity,Screen 1,r5fdzm,1,info,audio started,1980.5,1966.5999999999985,1980.5,1980.5,1966.5999999999985,1980.5,1,1980.5,0,0,,Audio Clip,Audio,1,object-1316,,Origin & authenticity,HUWA01_st_A2.mp3,st,,37
10,1719929923621,02/07/2024 14:18:43,1719937123621,2,02/07/2024 18:18:43,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,2,Origin & authenticity,Screen 1,r5fdzm,1,info,audio finished,10169.899999976158,10165.800000000003,10169.899999976158,10169.899999976158,10165.800000000003,10169.899999976158,1,10169.899999976158,0,0,,Audio Clip,Audio,1,object-1316,,Origin & authenticity,HUWA01_st_A2.mp3,st,,37
11,1719929937167,02/07/2024 14:18:57,1719937137167,2,02/07/2024 18:18:57,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,2,Origin & authenticity,Screen 1,r5fdzm,1,continue,,23714.59999999999,23697.899999999994,23714.59999999999,23714.59999999999,23697.899999999994,23714.59999999999,1,23714.59999999999,0,0,,Click To Continue,Continue Button,2,object-1317,,Origin & authenticity,HUWA01_st_A2.mp3,st,,37
12,1719929937170,02/07/2024 14:18:57,1719937137170,2,02/07/2024 18:18:57,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,2,Origin & authenticity,Screen 1,r5fdzm,1,response,3,12515.5,23697.899999999994,23714.59999999999,12515.5,23697.899999999994,23714.59999999999,1,12515.5,11199.099999999991,0,ResponseProgress,Rating Scale,Rating Scale,5,object-4,,Origin & authenticity,HUWA01_st_A2.mp3,st,,38
13,1719929937171,02/07/2024 14:18:57,1719937137171,2,02/07/2024 18:18:57,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,2,Origin & authenticity,Screen 1,r5fdzm,1,response,Ich weiß es nicht,23064.699999999997,23697.899999999994,23714.59999999999,23064.699999999997,23697.899999999994,23714.59999999999,1,23064.699999999997,649.8999999999942,0,,Dropdown,Dropdown,7,object-6,,Origin & authenticity,HUWA01_st_A2.mp3,st,,38
14,1719929951860,02/07/2024 14:19:11,1719937151860,2,02/07/2024 18:19:11,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Paradigm check,Screen 1,1mw97n,1,response,continue,14710.80000004769,14698.600000000006,14710.80000004769,14710.80000004769,14698.600000000006,14710.80000004769,1,14710.80000004769,0,0,ResponseProgress,Click Response,Continue,5,object-1178,,Paradigm check,,,,39
15,1719929951864,02/07/2024 14:19:11,1719937151864,2,02/07/2024 18:19:11,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Paradigm check,Screen 1,1mw97n,1,response,nein,8332.600000000006,14698.600000000006,14714.400000071531,8332.600000000006,14698.600000000006,14714.400000071531,1,8332.600000000006,6381.800000071526,0,,Text Entry,Text Entry,3,object-1145,,Paradigm check,,,,39
16,1719929951864,02/07/2024 14:19:11,1719937151864,2,02/07/2024 18:19:11,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Paradigm check,Screen 1,1mw97n,1,response,nein,12582.200000000012,14698.600000000006,14714.900000071531,12582.200000000012,14698.600000000006,14714.900000071531,1,12582.200000000012,2132.7000000715198,0,,Text Entry,Text Entry,4,object-1146,,Paradigm check,,,,39
17,1719929955318,02/07/2024 14:19:15,1719937155318,2,02/07/2024 18:19:15,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Instructions3,Screen 1,d2amsh,1,continue,,3470.100000023842,3466.899999999994,3470.100000023842,3470.100000023842,3466.899999999994,3470.100000023842,1,3470.100000023842,0,0,,Click To Continue,Continue Button,2,object-1272,,Instructions3,,,,40
18,1719929955327,02/07/2024 14:19:15,1719937155327,2,02/07/2024 18:19:15,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,
